filename,P_wave_duration_ms,PR_interval_ms,QRS_duration_ms,ST_segment_duration_ms,T_wave_duration_ms,QT_interval_ms,RR_interval_sec,heart_rate_bpm,target
HB (443).jpg,400.0,800.0,5840.0,2240.0,2240.0,8080.0,2.375,25.3,abnormal
HB (444).jpg,400.0,800.0,39440.0,800.0,800.0,40240.0,2.485,24.1,abnormal
HB (445).jpg,400.0,840.0,4000.0,16240.0,16240.0,20240.0,1.986,30.2,abnormal
HB (446).jpg,400.0,800.0,1240.0,11680.0,11680.0,12920.0,2.046,29.3,abnormal
HB (447).jpg,400.0,800.0,1160.0,1120.0,1120.0,2280.0,1.685,35.6,abnormal
HB (448).jpg,400.0,800.0,13160.0,26200.0,26200.0,39360.0,2.144,28.0,abnormal
HB (449).jpg,400.0,800.0,39400.0,2880.0,2880.0,42280.0,2.87,20.9,abnormal
HB (450).jpg,400.0,800.0,7040.0,5040.0,5040.0,12080.0,2.177,27.6,abnormal
HB (451).jpg,400.0,800.0,38280.0,1160.0,1160.0,39440.0,2.108,28.5,abnormal
HB (452).jpg,400.0,1200.0,8000.0,3960.0,3960.0,11960.0,2.044,29.4,abnormal
HB (453).jpg,400.0,800.0,25280.0,6560.0,6560.0,31840.0,1.938,31.0,abnormal
HB (454).jpg,400.0,800.0,2960.0,36480.0,36480.0,39440.0,2.775,21.6,abnormal
HB (455).jpg,400.0,800.0,39480.0,4560.0,4560.0,44040.0,2.583,23.2,abnormal
HB (456).jpg,400.0,800.0,16720.0,22720.0,22720.0,39440.0,2.743,21.9,abnormal
HB (457).jpg,400.0,800.0,27600.0,10760.0,10760.0,38360.0,2.508,23.9,abnormal
HB (458).jpg,400.0,800.0,39440.0,3440.0,3440.0,42880.0,2.157,27.8,abnormal
HB (459).jpg,400.0,800.0,1520.0,4480.0,4480.0,6000.0,2.04,29.4,abnormal
HB (460).jpg,400.0,720.0,4920.0,25800.0,25800.0,30720.0,1.943,30.9,abnormal
HB (461).jpg,400.0,800.0,7640.0,4840.0,4840.0,12480.0,2.452,24.5,abnormal
HB (462).jpg,400.0,800.0,8320.0,10520.0,10520.0,18840.0,2.465,24.3,abnormal
HB (463).jpg,400.0,800.0,3680.0,5120.0,5120.0,8800.0,2.457,24.4,abnormal
HB (464).jpg,400.0,800.0,15440.0,1280.0,1280.0,16720.0,2.636,22.8,abnormal
HB (465).jpg,400.0,800.0,26640.0,13040.0,13040.0,39680.0,1.967,30.5,abnormal
HB (466).jpg,400.0,800.0,680.0,5240.0,5240.0,5920.0,1.698,35.3,abnormal
HB (467).jpg,400.0,800.0,39440.0,3640.0,3640.0,43080.0,3.037,19.8,abnormal
HB (468).jpg,400.0,880.0,13440.0,4440.0,4440.0,17880.0,2.375,25.3,abnormal
HB (469).jpg,400.0,800.0,39440.0,25960.0,25960.0,65400.0,2.35,25.5,abnormal
HB (470).jpg,400.0,800.0,15040.0,24640.0,24640.0,39680.0,3.185,18.8,abnormal
HB (471).jpg,400.0,1240.0,4680.0,10360.0,10360.0,15040.0,1.843,32.6,abnormal
HB (472).jpg,400.0,800.0,39680.0,26880.0,26880.0,66560.0,2.495,24.1,abnormal
HB (473).jpg,400.0,800.0,2240.0,37440.0,37440.0,39680.0,4.141,14.5,abnormal
HB (474).jpg,400.0,800.0,760.0,5280.0,5280.0,6040.0,3.029,19.8,abnormal
HB (475).jpg,400.0,800.0,1080.0,7120.0,7120.0,8200.0,1.912,31.4,abnormal
HB (476).jpg,400.0,800.0,840.0,22760.0,22760.0,23600.0,2.144,28.0,abnormal
HB (477).jpg,400.0,800.0,1240.0,23720.0,23720.0,24960.0,2.049,29.3,abnormal
HB (478).jpg,400.0,800.0,8440.0,2200.0,2200.0,10640.0,2.495,24.0,abnormal
HB (479).jpg,400.0,800.0,38800.0,800.0,800.0,39600.0,2.117,28.3,abnormal
HB (480).jpg,400.0,800.0,5480.0,22440.0,22440.0,27920.0,1.99,30.2,abnormal
HB (481).jpg,400.0,800.0,2280.0,3600.0,3600.0,5880.0,2.17,27.6,abnormal
HB (482).jpg,400.0,800.0,12160.0,19760.0,19760.0,31920.0,2.906,20.6,abnormal
HB (483).jpg,400.0,1000.0,12560.0,1400.0,1400.0,13960.0,1.997,30.0,abnormal
HB (484).jpg,400.0,800.0,3920.0,6400.0,6400.0,10320.0,1.639,36.6,abnormal
HB (485).jpg,400.0,800.0,4840.0,2280.0,2280.0,7120.0,1.781,33.7,abnormal
HB (486).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.638,36.6,abnormal
HB (487).jpg,400.0,800.0,3880.0,6040.0,6040.0,9920.0,1.707,35.2,abnormal
HB (494).jpg,400.0,800.0,11680.0,1240.0,1240.0,12920.0,1.707,35.2,abnormal
HB (495).jpg,400.0,800.0,4280.0,5400.0,5400.0,9680.0,1.639,36.6,abnormal
HB (496).jpg,400.0,800.0,9840.0,1120.0,1120.0,10960.0,1.744,34.4,abnormal
HB (497).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.673,35.9,abnormal
HB (498).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.638,36.6,abnormal
HB (499).jpg,400.0,1480.0,4560.0,1760.0,1760.0,6320.0,1.606,37.4,abnormal
HB (500).jpg,400.0,800.0,4240.0,6480.0,6480.0,10720.0,1.607,37.3,abnormal
HB (501).jpg,400.0,800.0,10600.0,1120.0,1120.0,11720.0,1.654,36.3,abnormal
HB (502).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.723,34.8,abnormal
HB (503).jpg,400.0,800.0,3880.0,6040.0,6040.0,9920.0,1.638,36.6,abnormal
HB (504).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,abnormal
HB (505).jpg,400.0,800.0,840.0,3040.0,3040.0,3880.0,1.606,37.4,abnormal
HB (506).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,2.953,20.3,abnormal
HB (507).jpg,400.0,800.0,3360.0,1960.0,1960.0,5320.0,1.743,34.4,abnormal
HB (508).jpg,400.0,800.0,1400.0,840.0,840.0,2240.0,1.88,31.9,abnormal
HB (509).jpg,400.0,800.0,4240.0,6040.0,6040.0,10280.0,1.673,35.9,abnormal
HB (510).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.743,34.4,abnormal
HB (511).jpg,400.0,800.0,4240.0,3320.0,3320.0,7560.0,1.576,38.1,abnormal
HB (512).jpg,400.0,800.0,4240.0,3480.0,3480.0,7720.0,1.639,36.6,abnormal
HB (513).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.672,35.9,abnormal
HB (514).jpg,400.0,800.0,4240.0,4520.0,4520.0,8760.0,1.576,38.1,abnormal
HB (515).jpg,400.0,800.0,4960.0,1680.0,1680.0,6640.0,1.589,37.8,abnormal
HB (516).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.639,36.6,abnormal
HB (517).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.638,36.6,abnormal
HB (518).jpg,400.0,800.0,4480.0,4160.0,4160.0,8640.0,1.708,35.1,abnormal
HB (519).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.654,36.3,abnormal
HB (520).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.638,36.6,abnormal
HB (521).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.639,36.6,abnormal
HB (522).jpg,400.0,800.0,5000.0,6720.0,6720.0,11720.0,1.722,34.8,abnormal
HB (523).jpg,400.0,800.0,5000.0,6720.0,6720.0,11720.0,1.687,35.6,abnormal
HB (524).jpg,400.0,800.0,1040.0,3640.0,3640.0,4680.0,1.707,35.2,abnormal
HB (525).jpg,400.0,800.0,1440.0,2800.0,2800.0,4240.0,1.707,35.1,abnormal
HB (526).jpg,400.0,800.0,4240.0,6040.0,6040.0,10280.0,1.607,37.3,abnormal
HB (527).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.673,35.9,abnormal
HB (528).jpg,400.0,800.0,840.0,3080.0,3080.0,3920.0,1.638,36.6,abnormal
HB (529).jpg,400.0,800.0,2680.0,2560.0,2560.0,5240.0,1.654,36.3,abnormal
HB (530).jpg,400.0,800.0,5240.0,1400.0,1400.0,6640.0,1.781,33.7,abnormal
HB (531).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.673,35.9,abnormal
HB (532).jpg,400.0,800.0,3880.0,6200.0,6200.0,10080.0,1.672,35.9,abnormal
HB (533).jpg,400.0,800.0,3800.0,4560.0,4560.0,8360.0,1.606,37.4,abnormal
HB (534).jpg,400.0,800.0,10600.0,1120.0,1120.0,11720.0,1.672,35.9,abnormal
HB (535).jpg,400.0,800.0,10600.0,1120.0,1120.0,11720.0,1.606,37.4,abnormal
HB (536).jpg,400.0,800.0,2920.0,6040.0,6040.0,8960.0,1.707,35.2,abnormal
HB (537).jpg,400.0,800.0,840.0,2360.0,2360.0,3200.0,1.743,34.4,abnormal
HB (538).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.639,36.6,abnormal
HB (539).jpg,400.0,800.0,4200.0,6760.0,6760.0,10960.0,1.76,34.1,abnormal
HB (540).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.575,38.1,abnormal
HB (541).jpg,400.0,800.0,4240.0,920.0,920.0,5160.0,1.639,36.6,abnormal
HB (542).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.638,36.6,abnormal
HB (543).jpg,400.0,800.0,3880.0,6720.0,6720.0,10600.0,1.707,35.2,abnormal
HB (544).jpg,400.0,800.0,1320.0,1080.0,1080.0,2400.0,1.704,35.2,abnormal
HB (545).jpg,400.0,800.0,1480.0,1520.0,1520.0,3000.0,1.821,32.9,abnormal
HB (546).jpg,400.0,800.0,9520.0,1120.0,1120.0,10640.0,1.672,35.9,abnormal
HB (547).jpg,400.0,800.0,2720.0,6800.0,6800.0,9520.0,1.707,35.2,abnormal
HB (548).jpg,400.0,800.0,5080.0,6720.0,6720.0,11800.0,1.594,37.6,abnormal
Normal (681).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (682).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (683).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (684).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (685).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (686).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (687).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (69).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (691).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (692).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (693).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (694).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (695).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (696).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (697).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (698).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (699).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (7).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (70).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (700).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (701).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (702).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (703).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (704).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (705).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (706).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (707).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (708).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (709).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (71).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (710).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (711).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (712).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.673,35.9,normal
Normal (713).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (714).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (715).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (716).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (717).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (718).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (719).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (72).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (720).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (721).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (722).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (723).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (724).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (725).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (726).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (727).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (728).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (729).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (73).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (730).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (731).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (732).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (733).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (734).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (735).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (736).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (737).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (738).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (739).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (74).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (740).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (741).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (742).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (743).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (744).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (745).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (746).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (747).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (748).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (749).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (75).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (76).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (77).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (78).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (79).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (8).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (80).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (81).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (82).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (83).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (84).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (85).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (86).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (87).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (88).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (89).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (9).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (90).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (91).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (92).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (93).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (94).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (95).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (96).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (97).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (98).jpg,400.0,800.0,47640.0,800.0,800.0,48440.0,1.691,35.5,normal
Normal (99).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
